asset_id,year,asset_age,type,material,traffic_load,rainfall_mm,soil_type,slope_grade,region,needs_maintenance_next_year
A_1,2007,0,road,asphalt,1.0,310.77364285925796,clay,0.041,Lynbrook,0
A_1,2008,1,road,asphalt,1.0,223.36775674050256,clay,0.041,Lynbrook,0
A_1,2009,2,road,asphalt,1.0,188.20737420100983,clay,0.041,Lynbrook,0
A_1,2010,3,road,asphalt,1.0,493.7782633284478,clay,0.041,Lynbrook,0
A_1,2011,4,road,asphalt,1.0,121.9127834072324,clay,0.041,Lynbrook,1
A_1,2012,5,road,asphalt,1.0,181.76924974149273,clay,0.041,Lynbrook,1
A_1,2013,6,road,asphalt,1.0,478.1296348906576,clay,0.041,Lynbrook,1
A_1,2014,7,road,asphalt,1.0,406.9398109234416,clay,0.041,Lynbrook,0
A_1,2015,8,road,asphalt,1.0,405.66435830449905,clay,0.041,Lynbrook,0
A_1,2016,9,road,asphalt,1.0,215.77885248697504,clay,0.041,Lynbrook,0
A_1,2017,10,road,asphalt,1.0,147.99373748221964,clay,0.041,Lynbrook,1
A_1,2018,11,road,asphalt,1.0,298.95413144533075,clay,0.041,Lynbrook,0
A_1,2019,12,road,asphalt,1.0,272.2620045414412,clay,0.041,Lynbrook,0
A_1,2020,13,road,asphalt,1.0,151.67428070368598,clay,0.041,Lynbrook,1
A_1,2021,14,road,asphalt,1.0,313.0329391469695,clay,0.041,Lynbrook,1
A_1,2022,15,road,asphalt,1.0,192.04428643066387,clay,0.041,Lynbrook,1
A_1,2023,16,road,asphalt,1.0,323.4894270698851,clay,0.041,Lynbrook,1
A_1,2024,17,road,asphalt,1.0,367.2192686980968,clay,0.041,Lynbrook,0
A_2,2009,44,road,asphalt,1.0,128.83019863686314,sand,0.049,West Valley,1
A_2,2010,45,road,asphalt,1.0,444.7057448090354,sand,0.049,West Valley,1
A_2,2011,46,road,asphalt,1.0,116.92090462511655,sand,0.049,West Valley,1
A_2,2012,47,road,asphalt,1.0,107.49661463425828,sand,0.049,West Valley,1
A_2,2013,48,road,asphalt,1.0,468.46497380096497,sand,0.049,West Valley,1
A_2,2014,49,road,asphalt,1.0,444.84400544482656,sand,0.049,West Valley,1
A_2,2015,50,road,asphalt,1.0,330.30366429473247,sand,0.049,West Valley,1
A_2,2016,51,road,asphalt,1.0,329.3598723543372,sand,0.049,West Valley,1
A_2,2017,52,road,asphalt,1.0,383.79958462757367,sand,0.049,West Valley,1
A_2,2018,53,road,asphalt,1.0,267.0775839373922,sand,0.049,West Valley,1
A_2,2019,54,road,asphalt,1.0,146.0693490655193,sand,0.049,West Valley,1
A_2,2020,55,road,asphalt,1.0,108.34262360989952,sand,0.049,West Valley,1
A_2,2021,56,road,asphalt,1.0,229.90727177820554,sand,0.049,West Valley,1
A_2,2022,57,road,asphalt,1.0,420.52886172418084,sand,0.049,West Valley,1
A_2,2023,58,road,asphalt,1.0,347.2501053216961,sand,0.049,West Valley,1
A_2,2024,59,road,asphalt,1.0,432.8103652286829,sand,0.049,West Valley,1
A_3,2009,21,pump_station,steel,1.0,135.25195251915386,clay,0.049,Monta Vista,0
A_3,2010,22,pump_station,steel,3.0,197.32658992909347,clay,0.049,Monta Vista,0
A_3,2011,23,pump_station,steel,1.0,260.1799265264349,clay,0.049,Monta Vista,1
A_3,2012,24,pump_station,steel,2.0,258.3066787437332,clay,0.049,Monta Vista,1
A_3,2013,25,pump_station,steel,1.0,398.32193058584113,clay,0.049,Monta Vista,0
A_3,2014,26,pump_station,steel,1.0,233.2274489972528,clay,0.049,Monta Vista,1
A_3,2015,27,pump_station,steel,3.0,130.55175098920847,clay,0.049,Monta Vista,1
A_3,2016,28,pump_station,steel,3.0,145.61065593542102,clay,0.049,Monta Vista,1
A_3,2017,29,pump_station,steel,2.0,177.56148250676014,clay,0.049,Monta Vista,1
A_3,2018,30,pump_station,steel,3.0,240.4398939829442,clay,0.049,Monta Vista,0
A_3,2019,31,pump_station,steel,1.0,426.01480230000567,clay,0.049,Monta Vista,1
A_3,2020,32,pump_station,steel,2.0,141.12181111110513,clay,0.049,Monta Vista,0
A_3,2021,33,pump_station,steel,3.0,178.9087211295933,clay,0.049,Monta Vista,1
A_3,2022,34,pump_station,steel,3.0,161.14791560237194,clay,0.049,Monta Vista,1
